,NO_Detail,NH3_Detail,NO_Overall,NH3_Overall,Time,temperature
0,0.0002,0.0003,0.0002,0.0003,0.0,500.0
1,0.00019999958830587718,0.0003,0.0002,0.0003,0.031537631578947366,557.8947368421052
2,0.00019999919999999998,0.0003,0.0002,0.0003,0.06307526315789473,615.7894736842105
3,0.00019999883567429824,0.0003,0.0002,0.0003,0.09461289473684209,673.6842105263158
4,0.00019999840935850877,0.0003,0.0002,0.0003,0.12615052631578946,731.578947368421
5,0.0001999980830427193,0.0003,0.0002,0.0003,0.15768815789473684,789.4736842105262
6,0.00019999765672692983,0.0003,0.0002,0.0003,0.18922578947368418,847.3684210526316
7,0.00019999729999999998,0.0003,0.0002,0.0003,0.22076342105263155,905.2631578947369
8,0.00019999690409535086,0.0003,0.0002,0.0003,0.2523010526315789,963.1578947368421
9,0.0001999964777795614,0.0003,0.0002,0.0003,0.28383868421052627,1021.0526315789473
10,0.0001999961,0.0003,0.0002,0.0003,0.31537631578947367,1078.9473684210525
11,0.00019999572514798247,0.0003,0.0002,0.0003,0.346913947368421,1136.842105263158
12,0.00019999529999999998,0.0003,0.0002,0.0003,0.37845157894736836,1194.7368421052631
13,0.00019999497251640353,0.0003,0.0002,0.0003,0.40998921052631576,1252.6315789473683
14,0.00019999454620061403,0.0003,0.0002,0.0003,0.4415268421052631,1310.5263157894738
15,0.00019999411988482456,0.0003,0.0002,0.0003,0.4730644736842105,1368.421052631579
16,0.0001999937935690351,0.0003,0.0002,0.0003,0.5046021052631579,1426.3157894736842
17,0.00019999336725324562,0.0003,0.0002,0.0003,0.5361397368421053,1484.2105263157894
18,0.00019999299999999998,0.0003,0.0002,0.0003,0.5676773684210525,1542.1052631578946
19,0.00019999259999999998,0.0003,0.0002,0.0003,0.5992149999999999,1600.0
20,0.0002,0.0003,0.0002,0.0003,,
21,0.00019999970000000002,0.0003,0.0002,0.0003,,
22,0.0001999994,0.0003,0.0002,0.0003,,
23,0.00019999913567429823,0.0003,0.0002,0.0003,,
24,0.00019999880935850877,0.0003,0.0002,0.0003,,
25,0.00019999858304271928,0.0003,0.0002,0.0003,,
26,0.00019999825672692984,0.0003,0.0002,0.0003,,
27,0.00019999793041114035,0.0003,0.0002,0.0003,,
28,0.0001999977,0.0003,0.0002,0.0003,,
29,0.00019999737777956142,0.0003,0.0002,0.0003,,
30,0.0001999971,0.0003,0.0002,0.0003,,
31,0.0001999968,0.0003,0.0002,0.0003,,
32,0.0001999965,0.0003,0.0002,0.0003,,
33,0.0001999962,0.0003,0.0002,0.0003,,
34,0.00019999594620061402,0.0003,0.0002,0.0003,,
35,0.00019999561988482455,0.0003,0.0002,0.0003,,
36,0.00019999529999999998,0.0003,0.0002,0.0003,,
37,0.0001999950672532456,0.0003,0.0002,0.0003,,
38,0.00019999474093745616,0.0003,0.0002,0.0003,,
39,0.0001999945,0.0003,0.0002,0.0003,,
40,0.0002,0.0003,0.0002,0.0003,,
41,0.0001999997883058772,0.0003,0.0002,0.0003,,
42,0.0001999995619900877,0.0003,0.0002,0.0003,,
43,0.00019999930000000001,0.0003,0.0002,0.0003,,
44,0.0001999991,0.0003,0.0002,0.0003,,
45,0.0001999988830427193,0.0003,0.0002,0.0003,,
46,0.00019999865672692981,0.0003,0.0002,0.0003,,
47,0.0001999984,0.0003,0.0002,0.0003,,
48,0.0001999982,0.0003,0.0002,0.0003,,
49,0.0001999979777795614,0.0003,0.0002,0.0003,,
50,0.00019999775146377192,0.0003,0.0002,0.0003,,
51,0.0001999975,0.0003,0.0002,0.0003,,
52,0.00019999729883219298,0.0003,0.0002,0.0003,,
53,0.00019999707251640352,0.0003,0.0002,0.0003,,
54,0.00019999684620061403,0.0003,0.0002,0.0003,,
55,0.0001999966,0.0003,0.0002,0.0003,,
56,0.00019999639356903508,0.0003,0.0002,0.0003,,
57,0.0001999961672532456,0.0003,0.0002,0.0003,,
58,0.0001999959,0.0003,0.0002,0.0003,,
59,0.0001999957,0.0003,0.0002,0.0003,,
60,0.0002,0.0003,0.0002,0.0003,,
61,0.0001999998,0.0003,0.0002,0.0003,,
62,0.00019999959999999998,0.0003,0.0002,0.0003,,
63,0.00019999943567429825,0.0003,0.0002,0.0003,,
64,0.00019999930000000001,0.0003,0.0002,0.0003,,
65,0.0001999991,0.0003,0.0002,0.0003,,
66,0.0001999989,0.0003,0.0002,0.0003,,
67,0.0001999987,0.0003,0.0002,0.0003,,
68,0.00019999850409535086,0.0003,0.0002,0.0003,,
69,0.0001999983777795614,0.0003,0.0002,0.0003,,
70,0.0001999982,0.0003,0.0002,0.0003,,
71,0.000199998,0.0003,0.0002,0.0003,,
72,0.0001999978,0.0003,0.0002,0.0003,,
73,0.00019999759999999998,0.0003,0.0002,0.0003,,
74,0.00019999744620061404,0.0003,0.0002,0.0003,,
75,0.00019999729999999998,0.0003,0.0002,0.0003,,
76,0.0001999971,0.0003,0.0002,0.0003,,
77,0.00019999689999999998,0.0003,0.0002,0.0003,,
78,0.0001999967,0.0003,0.0002,0.0003,,
79,0.0001999965,0.0003,0.0002,0.0003,,
80,0.0002,0.0003,0.0002,0.0003,,
81,0.0001999998883058772,0.0003,0.0002,0.0003,,
82,0.00019999970000000002,0.0003,0.0002,0.0003,,
83,0.00019999953567429823,0.0003,0.0002,0.0003,,
84,0.0001999994,0.0003,0.0002,0.0003,,
85,0.0001999992830427193,0.0003,0.0002,0.0003,,
86,0.0001999991,0.0003,0.0002,0.0003,,
87,0.00019999893041114034,0.0003,0.0002,0.0003,,
88,0.0001999988,0.0003,0.0002,0.0003,,
89,0.0001999986777795614,0.0003,0.0002,0.0003,,
